Subject;SRTCRT_P1_S1;SRTCRT_N1_S1;SRTCRT_P2_S1;SRTCRT_N2_S1;SRTCRT_P3_S1;S_P1_S1;S_N1_S1;S_P2_S1;S_N2_S1;S_P3_S1;P_P1_S1;P_N1_S1;P_P2_S1;P_N2_S1;P_P3_S1;SRTCRT_P1_S2;SRTCRT_N1_S2;SRTCRT_P2_S2;SRTCRT_N2_S2;SRTCRT_P3_S2;S_P1_S2;S_N1_S2;S_P2_S2;S_N2_S2;S_P3_S2;P_P1_S2;P_N1_S2;P_P2_S2;P_N2_S2;P_P3_S2;PC;PS;M;C;APMeven;APModd
24;1.21238659504129;.310130107584713;-.505632868540262;-.0295351374261285;-.0136165604238119;.712680692496052;.767192738597457;1.13195879992268;.639333815352339;.809213287540502; ; ; ; ; ;.857581289992132;.160291052398149;-.398058369545666;-.215247603043023;.00633594856810219;.680414683828727;-.396990171121594;1.19367022467094;1.20077471659562;.204785524098706;.493361055255706;.156941461490979;1.39857427924663;.525841456531649;.236538310277875;.0778275768367545;-.502030498939732;-.162006677455311;-.535752283841743;.220584692925954;-.0567654162591637
25;.139532175794602;-.141620106931741;-.340515684753754;-.534829855520044;-1.56864525533322;1.44389532459512;.741986431396427;-.3155985652182;-.0740265950897037;-.996077330276915; ; ; ; ; ;-.329986358024158;-.132300763853652;.0658803567442447;-.53038134867464;-1.43670288508623;.164110858701237;-.531989214348369;-.721776185201665;-1.19967626912611;-1.5208053498114;.261849199580373;-.566139617629779;-.659180179028039;-1.07560793577093;-.915438654537257;-.106540168950642;.49189755580116;.507482855063266;.874184862883441;-1.20254235820924;-2.04355498532988
27;-1.90736112408395;-.485810746563325;-.70170952428674;1.12542421821711;-.513726291449953;1.3479983236641;.326082362579459;1.01458928383017;.464956826133173;1.46525962030405;-1.06239626062831;-1.19043584235042;-.610552634825633;.0441695395930447;.645530758614288;-.524960150982056;-.132300763853652;2.35596087800508;1.60802621096848;2.50390316066213;.336212133743733;.0658636913702044;.11770958702645;1.47511197210668;.307499266593355;.346035328916858;-.882487589745111;.983066167479628;1.67933297686148;.309785400526236;-.637522515291096;-.703172951251796;-.665939397322732;-.806215209808878;-2.3410439991174;-2.3273820666257
28;-.0580989014350514;-.0125486170698968;-.742988820233368;-.342336629579505;.25988094873111;-1.00147819914603;-1.46356544869356;-.912226938688425;.980161567007981;1.57227427032931;-.0979514282848801;.175312535976664;-1.02283546287869;-.118917991212046;.23245604384608;-.365436138561958;.181190467844707;-.506639773570964;-.35030492259943;.0776950117707888;.353422261247984;.605859864277304;-1.34843457855505;1.26935903047339;.640291792276018;-1.69547830749289;-.114213943179306;-1.17361879359671;-.0677027238322439;.229879483891661;.0491824634427975;.235299501832961;.300047783474752;.45074714431838;-.0640407173010846;-.340592497554981
29;.760658418516367;.439201597446558;-.794587940166651;-1.00403209375011;-.927879662455977;1.0722944459874;.6285580489918;-.159105877094862;-1.01724758222974;-.493573756245263;1.34871582023027;.45984344812814;-.778519712921325;-1.32848384468314;-.414095683617204;.822131509454333;.222989298737821;-.348703185897804;-1.14939406330817;-.120524608236675;-1.02338793909199;.779430062711729;-.0478228187650088;-1.39780873143965;-.805917702048642;.724872910931038;.202134028936026;-.619607977907372;-.672445850995455;-.828873911516467;.354584720114003;-.470503251588048;.516670071586739;-.614373065750769;1.35908633383411;1.36236999021992
30;-.199263956599089;.955487556893934;.113556570659144;.800591899442447;.912367863429279;-.0425081898357721;-1.22410553028379;.515768840437033;.338137197610143;-.949549221570281;-.888260388121858;.95303036252403;.198743286908151;.0985320498614083;-.438042043893622;1.08800486348783;.891770593027654;-.694189471432844;.122395695847996;-.453533569849212;-.231722073896506;1.12657045958058;.448774398609369;.316799115504445;.488275453383938;.95638476660637;.699252270831547;.389483150669628;.189873052552087;-.0164970923982809;.852113464556965;.252552626690105;.458886190435886;-.0229219358145536;1.35908633383411;.227061665036653
31;-.0722154069514549;-.937560961079779;-.464353572593635;.403574620940085;.806875967040952;.964410319939994;.300876055378431;1.55253289925415;-1.1916245714489;-.018987047437591;.946863806753837;.34603108326755;-.534203962963956;-1.65465890629332;-.563760435344816;.893031070529932;.0557939751653633;1.2701468377521;2.53654528291878;.156982859773773;-.059620798854009;1.18442719239205;.720720493838195;.14152809115016;-.304674638674754;.324988796582737;-1.42479839908568;.250980446747294;-1.09800582936957;.0833853033949386;-.963538738334614;-.590460060881755;-.630016730168463;-1.1665456610771;-.348666127528123;-.908246660146614
32;-.156914440049878;-1.75501373020479;-1.34153861145946;-.703261428218017;.244252519636542;.00544031062974039;.174844519373289;-1.26433548696594;2.28006275936904;-.223710725746783;.893283538290313;.0615001711160741;-1.38930908781475;-.17328050148041;.154630372947721;-1.55300378657825;-.947377966269385;-1.27658063847763;-.620419561712245;-.271171519442346;-1.14385883162174;-2.05554984505054;-1.53761447088814;-.384284981912696;1.4065363112861;.261849199580373;-.611332185074827;-1.66827130760504;-1.36678055255322;.795879726719905;-.1470647232549;.778158089576688;-.213294860327258;-.342513728480347;-.348666127528123;.51088874633247
33;1.41001767227094;-.270691596793585;1.42417421696455;2.94207903803095;1.45545577446548;-1.58884732984856;-1.56439067749767;1.41560179714623;1.64992773014523;.229938334142903;1.85772837063374;1.25653000215227;1.25235495859931;1.02269472442359;2.18408440637414;-.0641130039906598;.327486375970608;2.47441331875996;2.57030961280788;2.48011680626124;-.162881563879507;-1.55412482735109;-.662657468847573;2.67914770462742;1.17440325324819;.788012507933401;.699252270831547;2.28894880446163;1.5113487748717;2.70030407317729;-1.10517448582785;-.789296729424464;-.356720720512652;-.591434728612478;-.917916947982201;-.624419578850798
34;.252464219925831;.546761172331427;-.722349172260054;-.414521589307208;.697476963378983;-.797697072167596;-1.26191499108533;-1.81205989539762;-.557526428833755;-.167876995298822;.933468739637956;.327062355790784;-.65636183794264;-1.30130258954895;-.420082273686308;.325834581925137;.557379945882737;-1.40490411596207;1.63053576422788;.0856237965710869;-.507084113964501;.181577156993154;-1.19472591603441;.842612188567302;-.608707316458916;.430221458253342;-.0238288082892108;-.599821877347039;.716223552120067;-.0298147451707102;.350096673747323;.406744321045994;.240379669438719;.450422786163948;.789835513380032;.51088874633247
